# Adapted from https://simplemaps.com/data/world-cities
Madathapatti;9.1321
Itaberá;-23.8619
Sint-Truiden;50.8167
Kararān;30.7720
Artëmovskiy;57.3564
Martil;35.6167
Cogoleto;44.3894
Saint-Jérôme;45.7833
Wood-Ridge;40.8508
Ödemiş;38.2311
Beverly Hills;42.5220
Doujing;26.4789
Xinqiao;39.2694
Falun;60.6072
Clovis;34.4376
Licey al Medio;19.4300
Port-Margot;19.7500
Gravina in Puglia;40.8167
Lake Grove;40.8586
Raghudebbati;22.5300
Calabozo;8.9219
Weston;26.1006
Orillia;44.6000
Bethel;41.3747
Nagai;38.1075
Rājāpur;26.2861
Ālangulam;8.8640
Miorimivalana;-17.2167
Mashhad;36.3000
Valdivia;7.2890
Chekhov;55.1500
Desaguadero;-16.5684
Santa Cecília;-26.9608
Derdara;35.1103
Jadia;26.0937
Oirase;40.5992
Moknine;35.6333
Pike Creek Valley;39.7294
Kaliningrad;54.7003
Nailsea;51.4300
Schüttorf;52.3167
Suşehri;40.1658
Kanjiža;46.0667
Balykchy;42.4611
Alcaudete;37.5833
Alcantara;12.2584
Somma Vesuviana;40.8725
Atessa;42.0667
Kinross;-26.4167
Thompson;41.9798
El Palmar;8.0244
Sherkot;29.3500
Grovetown;33.4503
Al Hāmah;33.5581
Antônio Prado;-28.8578
Buttāyagūdem;17.2089
Bu’aale;1.0833
Lamballe;48.4686
Nipomo;35.0319
Yongji;34.8670
Takamori;35.5138
Kos;36.8500
Ena;35.4492
Bandar-e ‘Asalūyeh;27.4744
Hafizabad;32.0714
Antanambaobe;-16.2500
Lake in the Hills;42.1913
Trípoli;37.5167
Bello;6.3333
Barhi;23.9033
Pontal;-21.0225
Santo Niño;6.4333
Ijra;26.3119
Sardrūd;38.0286
Itaí;-23.4178
Manhiça;-25.4000
Berubāri;26.3603
Lingquan;36.9985
Le Luc;43.3947
Pakribarawān;24.9540
Rakitovo;41.9833
Masandra;44.5167
Swallownest;53.3623
Villamontes;-21.2608
Royal Oak;42.5084
Wheat Ridge;39.7728
Arslanbob;41.3333
Burghausen;48.1667
Köse;40.2100
Sendārappatti;11.4373
Villas;39.0157
Otradnyy;53.3667
Kerben;41.5000
Yahyalı;38.1000
Bāneh;35.9975
Gyomaendrőd;46.9361
Pecan Grove;29.6235
Jamestown;-15.9251
Markala;13.6739
Chamalières;45.7736
Semënov;56.8000
Bukwo;1.2928
Sorombo;-22.1000
General Roca;-39.0333
Progress;40.2901
Tepe-Korgon;40.6000
Beccles;52.4580
Antonivka;46.6791
Bischwiller;48.7664
An Nabk;34.0167
